image_path,information_type,identifiability_gold,location_gold,activity_gold,blur_presence,sharing_gold,high_level_category,subcategory
img1044,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1045,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1046,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1047,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1048,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1049,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img105,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Body and appearance,Body exposure and sexual implication
img1050,"[0,0,1,0,0,0,0,0]",0.0,1.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1051,"[1,1,1,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1052,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1053,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1054,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1055,"[1,1,1,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1056,"[0,1,1,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,0,0,0]",Personal identity and sensitive information,Workplace/School
img1057,"[0,1,1,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1058,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1059,"[1,1,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img106,"[1,0,0,0,1,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Body and appearance,Body exposure and sexual implication
img1060,"[1,1,1,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1061,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1062,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1063,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal identity and sensitive information,Workplace/School
img1064,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal identity and sensitive information,Workplace/School
img1065,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1066,"[1,1,0,1,1,1,0,0]",2.0,1.0,1.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1067,"[1,0,0,0,1,1,0,0]",2.0,0.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1068,"[1,0,0,1,0,0,0,0]",2.0,1.0,1.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1069,"[1,0,0,1,0,1,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img107,"[1,0,0,1,0,0,0,0]",2.0,0.0,2.0,0.0,"[0,1,0,0,0,0]",Body and appearance,Body exposure and sexual implication
img1070,"[1,0,1,1,1,1,0,0]",2.0,1.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1071,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1072,"[1,0,0,0,1,1,0,0]",2.0,0.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1073,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1074,"[1,0,1,0,1,0,0,0]",2.0,1.0,1.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1075,"[1,0,1,1,0,1,0,0]",2.0,2.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1076,"[1,0,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1077,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1078,"[1,0,0,0,1,0,0,0]",2.0,1.0,1.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1079,"[1,1,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Socio-cultural sensitive information,Gender identity
img108,"[1,0,1,1,0,0,0,0]",2.0,2.0,2.0,0.0,"[0,0,0,0,0,0]",Body and appearance,Body exposure and sexual implication
img1080,"[1,0,0,1,0,1,0,0]",2.0,0.0,2.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1081,"[1,0,0,1,0,0,0,0]",2.0,1.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1082,"[1,1,0,1,1,0,0,0]",2.0,1.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1083,"[1,0,0,1,1,0,0,0]",2.0,1.0,1.0,1.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1084,"[1,1,0,1,0,1,0,0]",2.0,1.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1085,"[1,0,0,1,1,0,0,0]",1.0,1.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1086,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1087,"[1,0,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Socio-cultural sensitive information,Gender identity
img1088,"[1,0,0,1,0,1,0,0]",2.0,0.0,2.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1089,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Socio-cultural sensitive information,Gender identity
img109,"[1,0,1,1,0,0,0,0]",2.0,2.0,2.0,0.0,"[0,0,0,0,0,0]",Body and appearance,Body exposure and sexual implication
img1090,"[1,0,0,1,1,1,0,0]",2.0,1.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1091,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1092,"[1,0,0,0,1,1,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1093,"[1,0,0,0,1,1,0,0]",2.0,1.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1094,"[1,1,0,1,0,1,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img1095,"[1,0,1,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1096,"[1,0,1,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1097,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1098,"[1,0,1,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1099,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img11,"[0,0,0,0,1,0,0,0]",0.0,1.0,1.0,0.0,"[0,1,1,1,0,0]",Location information,Public facilities
img110,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Body and appearance,Body exposure and sexual implication
img1100,"[1,0,1,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1101,"[1,0,0,0,1,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1102,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1103,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1104,"[1,0,0,0,1,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1105,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1106,"[1,1,1,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1107,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1108,"[1,0,1,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1109,"[1,0,0,0,0,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img111,"[1,0,1,1,0,0,0,0]",1.0,1.0,2.0,0.0,"[0,1,0,0,0,0]",Body and appearance,Body exposure and sexual implication
img1110,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1111,"[1,0,1,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1112,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,1.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1113,"[1,0,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1114,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1115,"[1,0,1,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1116,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1117,"[0,0,0,0,0,0,0,1]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,0]",Personal preferences,Hobbies/Leisure/Style
img1118,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1119,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img112,"[1,0,0,1,1,0,0,0]",2.0,1.0,0.0,0.0,"[0,1,1,0,0,0]",Body and appearance,Body exposure and sexual implication
img1120,"[1,0,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1121,"[1,0,1,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1122,"[1,0,0,0,1,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1123,"[1,0,0,0,1,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1124,"[1,0,1,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1125,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1126,"[1,0,0,0,1,0,0,1]",0.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1127,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1128,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1129,"[1,0,0,0,1,0,0,1]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img113,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,0]",Personal preferences,Hobbies/Leisure/Style
img1130,"[1,0,1,0,1,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1131,"[1,0,1,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1132,"[1,0,1,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1133,"[1,0,0,1,0,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1134,"[1,0,0,0,1,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1135,"[1,1,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1136,"[1,0,0,0,1,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1137,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1138,"[1,0,1,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1139,"[1,0,0,0,0,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img114,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,0]",Personal preferences,Hobbies/Leisure/Style
img1140,"[1,0,0,1,1,0,0,0]",1.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1141,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1142,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1143,"[1,0,0,0,0,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1144,"[1,0,1,1,0,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1145,"[1,0,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1146,"[1,0,0,1,0,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1147,"[1,0,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1148,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1149,"[1,0,0,1,1,0,0,0]",1.0,0.0,1.0,0.0,"[0,0,0,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img115,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,0]",Personal preferences,Hobbies/Leisure/Style
img1150,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1151,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1152,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1153,"[1,1,0,0,0,0,0,0]",1.0,0.0,,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1154,"[1,0,1,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1155,"[1,0,0,1,1,0,0,0]",1.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1156,"[1,0,0,1,0,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1157,"[1,0,0,1,1,0,0,1]",1.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1158,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1159,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img116,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1160,"[1,0,0,0,1,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1161,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1162,"[1,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1163,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1164,"[1,0,0,1,1,0,0,0]",1.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1165,"[1,1,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,0,0,0]",Personal preferences,Hobbies/Leisure/Style
img1166,"[1,0,0,0,0,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1167,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
